,logFC,AveExpr,t,P.Value,adj.P.Val,B
LINC00240,7.50322477731876,7.66314229561775,52.4087240075803,6.4245656116186e-29,1.32597237623256e-28,55.7217113093366
TIMM22,8.14830771195847,8.37156815080306,52.3825967887122,6.5116967113215e-29,1.34382250263715e-28,55.7093361238437
EVI5,10.0734465235894,9.98491714946809,52.3748390235942,6.53780301908356e-29,1.34907662298834e-28,55.7056602177082
NPNT,9.31797129332407,9.18895887793196,52.3500249535643,6.62203766239125e-29,1.36632330840477e-28,55.6938980184081
CCDC171,7.07325691985478,7.07454165135242,52.33362821967,6.67831501109646e-29,1.37779873181858e-28,55.6861220619999
CYSLTR1,7.16862089933988,7.37447779137368,52.3258199045634,6.70528893012917e-29,1.38322691249238e-28,55.6824180295626
SLC25A25,8.95317041431196,8.72734149517278,52.3104546669449,6.75869852372805e-29,1.39410686772805e-28,55.6751272733091
CXCL16,10.0128086565582,10.0098608548621,52.3044150006275,6.77981294767906e-29,1.39832385283718e-28,55.672260764645
HNF4A,6.96880761786647,6.92631754369783,52.2964289827295,6.80783673651475e-29,1.40396490704993e-28,55.668469878639
SLC39A14,7.78759100448521,8.11775867753313,52.2955249222983,6.81101673604495e-29,1.40448187355312e-28,55.6680406859037
PPWD1,9.53433725858649,9.60702660959451,52.2867741378756,6.8418769787641e-29,1.41070604399068e-28,55.6638858854564
PMEPA1,7.44066833028139,7.73470930095369,52.2846866967069,6.84925986619686e-29,1.41208873731198e-28,55.6628946618598
LOC105378568,8.01395509290127,8.05383656448306,52.2698028343594,6.90214116725455e-29,1.42285048449866e-28,55.6558256628683
SERPINI1,8.49396104428507,8.50817614148027,52.2649002380212,6.91965223411086e-29,1.42631938452743e-28,55.6534966741547
APOLD1,7.21376572480904,7.35218954157007,52.235930152264,7.02407154173069e-29,1.44769986666257e-28,55.6397290023347
CNN3,11.0864194292385,10.2447405838688,52.2332355875355,7.03386643344112e-29,1.44957543746368e-28,55.6384479768118
LOC441242,9.4843899292997,9.50677420699917,52.207309056632,7.12883727085507e-29,1.46900240166514e-28,55.6261181542147
SIN3B,8.29761848858834,8.1010341637563,52.2054570563507,7.13567193778158e-29,1.47026556015802e-28,55.625237120537
IRF5,8.85196097062958,8.69536328129425,52.2025185733231,7.14653012503699e-29,1.4723574113028e-28,55.6238391480297
PRKAG2,8.83566295163333,8.52387630672894,52.1940695513007,7.17784617568564e-29,1.478663245948e-28,55.6198190291225
ANXA8,7.47483577722902,7.40644710755642,52.1897380740832,7.19395577519687e-29,1.48183555867059e-28,55.6177577705204
ZNF222,7.17680991062626,7.1440158836944,52.1629827490812,7.29429803770186e-29,1.50235606340741e-28,55.6050209110577
XYLT1,7.51111221253952,7.46837586649564,52.1486803315016,7.34853116489034e-29,1.51337667484642e-28,55.5982090274771
UGGT2,8.33785329752413,8.38008563739467,52.1469495121707,7.35512251881577e-29,1.51458460159446e-28,55.5973845290784
ACAP1,7.33783854436585,7.33894272484275,52.1381570327981,7.38870102511057e-29,1.52134900104478e-28,55.5931956081752
EPPIN,11.0517892791573,10.7936107708433,52.1151943737021,7.47714680392179e-29,1.53940823668624e-28,55.5822517086031
HYPK,7.47416941239482,7.71738424268369,52.1145857168909,7.47950605184837e-29,1.53974200960786e-28,55.5819615466099
ZNF581,8.05829322133095,7.91657745881456,52.1064394804354,7.51115648519679e-29,1.5461050477965e-28,55.5780776386342
ZNF788P,7.25463130936211,6.98353001776789,52.104570436057,7.51843780719564e-29,1.54745115956704e-28,55.5771864251871
ISL1,7.90979850209609,7.87686587316826,52.0962693388501,7.55086526996593e-29,1.55397209491989e-28,55.573227761602
MOB1B,9.92112057383825,9.72336932769134,52.0905367679056,7.57334360435817e-29,1.55844440988479e-28,55.5704935452029
PTAR1,9.99982047968075,9.98233348865604,52.0761904801514,7.62990215754578e-29,1.56992818631739e-28,55.5636493301067
SLC12A8,7.31749563261567,7.27649997941587,52.0736810704916,7.6398401023237e-29,1.57181799028281e-28,55.5624519275274
TTC7B,8.50539774069012,8.54072457983605,52.0569171564066,7.70657481982606e-29,1.58539161711085e-28,55.5544509932752
FASN,8.52205966681074,8.4758194123151,52.0417604647649,7.76743142658423e-29,1.59775344529087e-28,55.5472144730129
TRNT1,8.92389389925678,9.08485190260792,52.0313109290573,7.80967789103986e-29,1.60628512435052e-28,55.5422238954845
ARHGAP45,7.76757823755475,7.92377741648188,52.0226234721338,7.84498169111248e-29,1.61338730323332e-28,55.53807394911
LINC01560,7.16409958036641,7.14107701146793,52.021315472131,7.8503114059514e-29,1.61432426368613e-28,55.5374490531522
SYNGR1,7.85327640941544,7.86670593296634,52.0204177542701,7.85397151321564e-29,1.61491773811063e-28,55.5370201582308
PYGB,9.41131246120804,9.37732613189515,52.0175540891938,7.86565885422768e-29,1.61716147646494e-28,55.535651950203
APEX2,8.51563668675,8.50486464054759,52.0129305401541,7.88456678206505e-29,1.62088916246986e-28,55.5334427099418
SGO2,8.36438836808715,8.16624188110066,52.0018551895343,7.93005104538681e-29,1.63007907093171e-28,55.5281496873685
CNFN,7.23563928552464,7.28895860413231,51.9918688600001,7.97129604137561e-29,1.63839584251407e-28,55.5233759572989
POMZP3,8.27137543521972,7.99481064464362,51.9893603540803,7.98169142924216e-29,1.64037086589351e-28,55.5221766518443
ADCY3,7.42955748766444,7.70230806787566,51.9831805054231,8.00736104628171e-29,1.64548430011356e-28,55.5192217971407
CKAP2,8.0529504286832,8.17469771220376,51.9797451194017,8.0216678040569e-29,1.64826192975707e-28,55.5175790069455
LY6H,8.61037766324954,8.54579044743049,51.9756901312382,8.0385890052036e-29,1.65147456809136e-28,55.5156397571621
PIAS2,8.01039562140929,8.06769299023653,51.9756190080751,8.03888612739322e-29,1.65147456809136e-28,55.5156057417343
BAP1,8.92221282445491,8.70772322673703,51.9754167677827,8.03973106312618e-29,1.65148552027312e-28,55.5155090178048
CNTROB,8.62269499988771,8.41712894066023,51.9692228924708,8.0656529537102e-29,1.65664715880971e-28,55.5125465010321
RGS19,9.44220400850641,9.43510544265125,51.9620664341598,8.09571121620974e-29,1.66265728876322e-28,55.5091230546166
WARS2-AS1,7.51375415749373,7.50042715082091,51.9296276250333,8.23342209674252e-29,1.6907732235677e-28,55.4935981429446
ZNF785,7.6700502114856,7.79259327608691,51.9252543069719,8.2521727730789e-29,1.69445697236193e-28,55.4915042224692
